Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Giovanni Leoni,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Giorgi Mamardashvili,ge GEO,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Trey Nyoni,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Squad Total,,,27,6,66,540.0,6.0,12.0,8.0,20.0,11.0,1.0,1.0,13.0,0.0,9.0,8.2,6.9,15.2,148.0,292.0,290.0,2.0,1.33,3.33,1.83,3.17,1.5,1.15,2.65,1.37,2.53,,Liverpool
Opponent Total,,,27,6,66,540.0,6.0,7.0,5.0,12.0,7.0,0.0,0.0,12.0,2.0,6.9,6.9,5.4,12.3,78.0,148.0,143.0,1.17,0.83,2.0,1.17,2.0,1.15,0.91,2.06,1.15,2.06,,Liverpool
Gabriel Magalhães,br BRA,DF,27,6,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,5.0,26.0,1.0,0.17,0.0,0.17,0.17,0.17,0.08,0.0,0.08,0.08,0.08,Matches,Arsenal
David Raya,es ESP,GK,30,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal
Martín Zubimendi,es ESP,MF,26,6,6,530.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,4.0,27.0,6.0,0.34,0.0,0.34,0.34,0.34,0.05,0.09,0.14,0.05,0.14,Matches,Arsenal
Viktor Gyökeres,se SWE,FW,27,6,6,486.0,5.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.4,1.6,0.3,1.9,3.0,4.0,29.0,0.56,0.0,0.56,0.37,0.37,0.44,0.05,0.49,0.3,0.35,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,23,6,6,450.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,0.5,2.2,13.0,21.0,22.0,0.2,0.4,0.6,0.2,0.6,0.33,0.1,0.43,0.33,0.43,Matches,Arsenal
Declan Rice,eng ENG,MF,26,6,5,465.0,5.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,12.0,31.0,8.0,0.0,0.39,0.39,0.0,0.39,0.03,0.21,0.24,0.03,0.24,Matches,Arsenal
Jurriën Timber,nl NED,DF,24,6,5,432.0,4.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,11.0,35.0,24.0,0.42,0.21,0.62,0.42,0.62,0.34,0.09,0.43,0.34,0.43,Matches,Arsenal
William Saliba,fr FRA,DF,24,5,4,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Arsenal
Noni Madueke,eng ENG,FW,23,5,4,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,18.0,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.34,0.09,0.34,Matches,Arsenal
Bukayo Saka,eng ENG,FW,24,4,3,256.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,17.0,4.0,36.0,0.35,0.0,0.35,0.35,0.35,0.13,0.08,0.21,0.13,0.21,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",29,5,3,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,5.0,9.0,8.0,0.39,0.0,0.39,0.39,0.39,0.07,0.04,0.11,0.07,0.11,Matches,Arsenal
Martin Ødegaard,no NOR,MF,26,5,3,174.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,9.0,21.0,4.0,0.0,0.52,0.52,0.0,0.52,0.07,0.19,0.26,0.07,0.26,Matches,Arsenal
Cristhian Mosquera,es ESP,DF,21,5,2,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Eberechi Eze,eng ENG,"FW,MF",27,4,2,234.0,2.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,1.3,8.0,14.0,16.0,0.0,0.77,0.77,0.0,0.77,0.22,0.27,0.49,0.22,0.49,Matches,Arsenal
Leandro Trossard,be BEL,FW,30,4,2,220.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,4.0,6.0,19.0,0.0,0.41,0.41,0.0,0.41,0.21,0.09,0.3,0.21,0.3,Matches,Arsenal
Gabriel Martinelli,br BRA,FW,24,5,2,173.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,4.0,6.0,0.52,0.0,0.52,0.52,0.52,0.14,0.02,0.16,0.14,0.16,Matches,Arsenal
Ben White,eng ENG,DF,27,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches,Arsenal
Ethan Nwaneri,eng ENG,MF,18,3,0,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches,Arsenal
Myles Lewis-Skelly,eng ENG,DF,19,4,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Kai Havertz,de GER,FW,26,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Max Dowman,eng ENG,FW,15,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,Arsenal
Andre Annous,eng ENG,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Kepa Arrizabalaga,es ESP,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Piero Hincapié,ec ECU,DF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jakub Kiwior,pl POL,"DF,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Christian Nørgaard,dk DEN,MF,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Squad Total,,,26,6,66,540.0,6.0,12.0,9.0,21.0,11.0,1.0,1.0,9.0,0.0,9.1,8.3,5.4,13.7,129.0,247.0,243.0,2.0,1.5,3.5,1.83,3.33,1.52,0.9,2.42,1.39,2.29,,Arsenal
Opponent Total,,,26,6,66,540.0,6.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,3.9,3.9,3.4,7.3,92.0,152.0,151.0,0.5,0.33,0.83,0.5,0.83,0.65,0.56,1.21,0.65,1.21,,Arsenal
Marc Guéhi,eng ENG,DF,25,6,6,540.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,4.0,23.0,1.0,0.17,0.17,0.33,0.17,0.33,0.07,0.08,0.14,0.07,0.14,Matches,Crystal-Palace
Dean Henderson,eng ENG,GK,28,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Maxence Lacroix,fr FRA,DF,25,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,0.0,8.0,1.0,0.0,0.17,0.17,0.0,0.17,0.05,0.09,0.14,0.05,0.14,Matches,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",26,6,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,15.0,10.0,43.0,0.17,0.0,0.17,0.17,0.17,0.05,0.1,0.15,0.05,0.15,Matches,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",29,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.6,2.3,8.0,12.0,34.0,0.0,0.17,0.17,0.0,0.17,0.12,0.27,0.39,0.12,0.39,Matches,Crystal-Palace
Chris Richards,us USA,DF,25,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,Matches,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,28,6,6,531.0,5.9,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.6,2.8,0.1,2.9,2.0,5.0,20.0,0.34,0.0,0.34,0.17,0.17,0.61,0.02,0.63,0.47,0.5,Matches,Crystal-Palace
Will Hughes,eng ENG,MF,30,6,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.6,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches,Crystal-Palace
Adam Wharton,eng ENG,MF,21,5,5,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.8,1.8,4.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.44,0.46,0.02,0.46,Matches,Crystal-Palace
Daichi Kamada,jp JPN,MF,29,4,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,5.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.23,0.31,0.08,0.31,Matches,Crystal-Palace
Ismaila Sarr,sn SEN,"MF,FW",27,4,4,344.0,3.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,0.3,3.0,8.0,12.0,17.0,0.78,0.0,0.78,0.78,0.78,0.72,0.07,0.79,0.72,0.79,Matches,Crystal-Palace
